EntrezGeneID	CT22	CT23	CT24	CT48	CT50	CTH26	CTH28	CTH46	CTH47	CTH49
11449	5.95	5.77	5.83	5.66	5.52	5.65	5.5	5.74	5.74	5.45
11450	5.4	5.35	5.49	5.29	5.19	4.99	5.21	5.25	5.09	5.17
11451	4.93	5.13	4.16	4.59	4.94	4.65	4.82	4.62	4.62	4.69
11459	6.32	6.15	6.37	6.22	6.02	6.35	6.38	6.86	6.55	6.71
11461	9.93	9.68	9.73	9.78	9.56	9.95	10.43	10.29	10.21	10.42
11464	9.65	9.61	10.12	9.82	9.56	9.51	8.87	7.77	9.09	8.42
11465	7.01	6.53	6.49	6.76	6.89	6.54	6.79	6.74	6.77	7.07
11468	6.4	7.26	7.08	7.04	7.13	7.69	7.19	6.73	7.3	6.75
11470	6.12	6	5.7	5.62	5.73	5.84	5.59	5.77	5.29	5.63
11471	3.28	3.41	3.36	3.54	3.28	3.15	3.25	3.47	3.46	3.42
11472	5.81	5.83	6.73	5.4	5.41	5.85	5.62	5.29	5.78	5.68
11474	5.69	5.67	5.54	5.3	5.41	5.67	5.55	5.6	5.64	5.48
11475	11	11.02	11.01	11.07	11.07	11.48	11.2	11.49	11.5	11.06
11477	7.56	7.38	7.36	7.56	7.43	7.33	7.18	7.4	7.38	7.2
11479	7.67	7.73	7.92	8.15	7.83	8.09	7.87	8.03	8.16	8.27
11480	8.75	8.57	8.67	8.74	8.71	9.03	8.31	8.13	8.3	8.14
11481	6.62	6.33	6.4	6.39	6.43	6.31	5.88	5.69	6	6.02
11482	9.68	9.51	9.67	9.74	9.54	9.18	8.88	9	9.06	8.92
11484	6.42	6.18	6.89	6.79	6.66	6.47	6.2	6.18	5.87	5.2
11486	6.18	6.76	6.08	6.29	6.08	6.16	6.4	6.7	6.73	6.83
11487	9.92	9.74	9.8	9.78	9.8	10.11	10.02	10.11	9.75	9.89
11488	5.8	5.56	5.38	5.44	5.44	5.5	5.74	5.81	5.58	5.65
11489	6.06	6.02	5.9	6.09	5.86	6.02	6.65	7.38	6.58	6.35
11490	8.61	8.63	8.51	8.66	8.55	9.24	8.98	9.18	9.22	8.82
11491	8.47	8.59	8.59	8.7	8.57	8.65	9.15	9.31	9.11	9.05
11492	7.68	8.11	8.07	8.32	8.08	7.84	8.31	8.39	8.32	8.22
11495	4.14	4.41	3.97	3.92	4.18	4.05	3.96	4.13	4.1	4.32
11497	6.13	6.2	6.01	6.32	5.92	5.61	5.4	5.08	5.43	5.32
11498	6.13	6.31	6.73	6.95	6.65	5.24	5.37	5.57	5.78	5.23
11499	4.93	4.68	5.04	5.01	4.84	4.34	4.69	4.72	4.79	4.25
11500	4.39	4.47	4.34	4.12	3.92	4.38	4.07	4.07	3.9	4.17
11501	6.48	6.54	6.44	6.33	6.42	6.38	8.15	8.61	8.28	8.83
11502	9.72	9.73	9.81	9.9	9.78	10.13	10.08	10.18	10.05	10.21
11504	8.66	8.4	8.46	8.6	8.47	8.83	8.52	8.77	8.57	8.14
11512	7.32	7.13	7.53	7.49	7.11	7.18	7.16	7.27	7.01	6.94
11513	7.97	7.62	7.76	7.98	7.85	7.98	8.44	8.4	8.43	8.29
11514	7.72	7.58	8	7.96	8.04	7.11	6.97	6.14	6.76	6.77
11515	7.71	7.66	7.64	7.77	7.69	7.57	7.31	7.02	7.23	7.11
11516	5.47	5.26	4.9	4.89	5.03	5.07	5.19	4.91	5.27	4.93
11517	6.27	6.04	6.06	6.09	5.94	5.91	5.84	5.76	5.92	6.03
11518	9.45	9.29	9.45	9.39	9.33	9.55	9.29	9.35	9.32	9.19
11519	6.03	5.92	5.86	5.39	5.63	5.65	5.8	5.85	5.7	5.86
11520	9.08	9.47	9.18	9.51	9.3	9.12	9.82	10.09	9.53	10.65
11522	9.18	9.28	9.48	9.46	9.62	9.29	9.09	8.73	9	8.41
11529	6.77	6.25	6.85	6.6	6.66	6.46	5.8	5.53	6.07	5.84
11532	7.78	7.79	8.07	8.09	8.06	8.14	8.44	8.41	8.36	8.32
11534	9.64	9.59	9.59	9.67	9.55	9.44	9.16	8.59	8.84	8.81
11535	6.08	6.1	6.6	6.16	6.06	7.68	7.39	7.48	7.25	7.1
11536	8.03	8.22	8.22	8.27	8.26	8.45	8.21	8.01	8.35	7.82
11537	7.13	6.35	6.71	6.48	6.54	6.34	5.93	6.17	6.23	6.68
11538	8.6	8.51	8.75	8.62	8.65	8.74	8.61	8.54	8.52	8.48
11539	6.61	6.42	6.37	6.5	6.33	6.74	6.2	6.2	6.46	6.34
11540	6.47	6.5	6.2	6.46	6.35	6.38	7.11	7.71	7.19	7.14
11541	7.46	7.83	7.28	7.63	7.55	7.38	7.35	7.24	7.35	7.85
11542	5.7	5.68	5.29	5.61	5.63	5.45	5.67	6	5.84	5.88
11544	7.48	7.53	7.54	7.5	7.38	7.39	7.54	7.9	7.56	7.65
11545	7.74	7.69	7.87	8.01	7.94	7.71	8.12	8.3	8.1	8.01
11546	8.04	7.97	8.24	8.23	8.2	8.4	8.62	8.71	8.49	8.46
11548	5.44	5.39	5.07	5.31	5.35	5.39	5.16	5.49	5.46	5.33
11549	6.69	6.55	6.64	6.8	6.46	6.3	6.02	5.81	5.94	6.17
11550	5.7	5.67	5.38	5.85	5.92	5.68	5.65	5.63	5.78	5.54
11551	5.38	5.44	5.25	5.16	5.25	5.1	5.33	5.18	5.12	5.35
11552	5.96	5.91	5.74	5.85	5.61	5.7	5.79	5.86	5.56	5.82
11553	5.11	4.82	5.16	4.65	4.97	4.77	5.04	5.2	5.07	5
11554	8.31	8.31	8.4	8.33	8.3	7.8	7.32	7.21	7.58	7.28
11555	8.49	8.43	8.77	8.21	8.08	9.22	7.98	7.8	7.89	7.94
11556	6.27	6.11	6.16	5.99	6.28	5.77	5.6	5.5	5.4	5.4
11564	7.62	7.42	7.61	7.47	7.64	7.74	7.88	7.83	7.81	7.83
11565	6.32	6.93	6.78	6.82	6.79	7.41	7.43	7.67	7.49	7.99
11566	9.18	9.15	9.35	9.36	9.4	9.49	9.55	9.42	9.44	9.27
11567	5.87	6.34	5.81	5.98	6.1	5.93	5.83	5.89	5.76	5.82
11568	8.64	8.71	8.75	8.73	8.56	8.72	8.63	8.98	8.9	8.64
11569	8.27	8.23	8.16	8.04	8.21	8.22	8.33	8.5	8.28	8.38
11571	3.8	3.57	3.83	3.78	4.11	3.63	3.48	3.85	3.72	4.07
11572	4.07	3.49	3.41	3.84	4.02	3.3	3.75	3.45	3.23	3.66
11576	5.6	5.65	5.54	5.47	5.35	5.5	5.3	5.66	5.46	5.62
11593	6.88	7.32	7.25	7.19	7.1	7.1	7.26	7.22	7.09	6.77
11595	4.66	4.76	4.63	4.42	4.47	4.77	4.51	4.68	4.6	4.73
11596	11.88	11.96	11.93	11.96	11.87	12	11.69	11.38	11.66	11.67
11600	6.8	6.79	6.31	6.51	6.73	5.7	5.68	5.46	5.28	5.45
11601	6.74	6.84	6.83	6.99	7.13	6.53	6.54	6.85	6.6	7.25
11602	5.32	5.68	5.54	5.57	5.43	5.62	5.6	5.59	5.48	5.52
11603	8.53	8.34	8.7	8.76	8.62	9.05	8.68	8.35	8.69	8.64
11604	5.78	6.01	5.53	6.11	5.92	5.73	5.29	5.35	5.64	5.58
11605	7.42	7.48	7.25	7.66	7.62	7.64	8.78	8.93	8.66	9.68
11606	6.23	5.98	5.83	5.79	6.01	5.81	5.64	5.94	5.67	5.8
11607	7.35	7.54	7.61	7.55	7.69	7.4	6.91	6.68	7	6.35
11608	5.79	5.39	5.58	5.84	5.26	5.4	5.34	5.22	4.95	5.29
11609	4.86	4.81	4.5	4.6	4.55	4.77	4.78	4.53	4.38	4.71
11610	7.1	6.96	7.26	7.19	7.33	7.09	7.62	7.65	7.86	8
11611	5.52	5.67	5.52	5.59	5.85	5.86	5.36	5.54	5.72	5.78
11614	4.4	4.55	4.21	4.1	4.21	4.2	4.44	4.45	4.24	4.6
11622	10.28	10.33	10.12	9.9	10.21	10.06	9.8	9.89	9.84	9.88
11624	4.58	4.77	4.71	4.77	4.6	4.51	4.64	4.74	4.81	4.63
11625	5.29	5.6	5.59	5.45	5.63	5.39	5.34	5.62	5.41	5.5
11628	4.62	4.26	4.05	4.34	4.03	4.38	4.32	4.31	4.53	4.25
11629	5.56	5.91	5.66	5.65	6.08	5.69	7.4	7.7	7.37	7.67
11630	7.11	6.79	7.29	7.3	7.38	7.2	8.42	8.43	8.41	9.05
11632	7.38	7.59	7.58	7.57	7.59	7.49	7.76	7.79	7.89	7.89
11634	6.22	6.06	6.09	5.89	6.03	5.99	5.93	6.04	5.99	5.97
11636	6.96	6.69	6.78	6.75	6.89	7.04	6.99	7.17	7.12	6.71
11637	6.76	6.72	6.84	7.17	7.05	7.29	7.91	8.11	7.97	8.24
11639	5.77	5.57	5.75	5.67	5.11	5.6	5.36	6.17	5.55	5.71
11640	7.28	7.42	7.31	7.38	7.28	7.39	7.08	7.2	7.36	7.26
11641	9.05	9.09	9.09	9.19	9.09	9.21	8.86	8.82	8.67	8.81
11642	4.08	4.18	4.02	3.74	4.2	3.95	3.75	3.88	3.94	4.12
11643	5.22	5.23	4.94	4.8	4.97	4.97	4.91	5.04	4.85	5.01
11647	6.59	6.72	6.57	6.78	6.55	7.36	7.35	6.98	7.3	8.32
11648	4.85	4.88	4.53	4.53	4.23	4.57	4.32	4.42	4.55	4.81
11650	5.03	5.42	4.88	5.24	5.57	5.19	5.15	5.38	5.17	5.61
11651	8.58	8.6	8.73	8.79	8.61	8.86	8.96	9.11	9.05	8.99
11652	8.33	8.54	8.35	8.39	8.3	8.15	8.36	8.27	8.38	8.41
11655	10.84	10.68	10.78	10.57	10.55	10.82	10.6	9.97	10.79	10.22
11656	8.14	8.38	8.25	8.68	8.25	7.81	6.61	6.74	6.79	7.71
11657	5.84	5.97	5.96	5.87	6.01	5.51	5.36	5.38	5.65	5.56
11658	11.28	11.26	11.23	11.14	11.17	11.13	10.68	10.29	10.51	10.28
11666	8.09	7.85	8.28	8.18	8.27	7.96	8.38	8.45	8.37	8.43
11668	12.28	11.88	12.03	11.94	11.89	12.09	11.17	10.81	11.31	10.54
11669	7.81	7.58	7.57	7.04	7.26	7.35	7.14	6.58	6.47	6.6
11670	6.68	6.57	6.91	6.79	6.34	6.96	6.04	5.45	6.25	4.68
11671	6.45	6.15	5.93	5.56	5.65	5.81	6.1	5.95	5.48	6.05
11674	5.8	5.84	6.16	6.09	6	6.04	6.3	5.86	6.18	6.25
11676	6.59	6.26	6.4	6.43	6.46	6.53	6.75	6.25	6.53	6.48
11677	6.42	5.78	6.09	6.03	6.16	6.25	6.28	6.45	6.43	6.38
11682	5.37	5.42	5.1	5.25	5.13	5.14	5.23	5.24	5.43	5.3
11684	7.18	7.04	7.2	7.41	7.5	7.89	6.89	7.36	7.34	7.41
11685	4.95	4.95	4.94	4.68	4.66	4.74	4.66	4.75	4.98	4.74
11686	5.42	5.5	5.15	5.29	5.51	5.43	5.36	5.34	5.32	5.56
11687	6.33	5.75	6.01	5.53	5.87	5.77	6.54	6.78	6.51	5.9
11688	5.32	5.33	5.34	5.34	5.44	5.61	5.65	5.43	5.45	5.45
11689	6.45	6.8	6.31	6.47	6.73	6.45	6.23	6.38	6.24	6.37
11690	9.06	9.44	9.06	9.1	9.32	9.15	9.95	10.29	9.86	10.25
11692	6.72	6.83	6.97	6.66	6.38	6.38	6.9	6.69	6.71	6.83
11694	6.47	6.45	6.33	6.19	6.33	6	5.94	6.16	6.24	6.15
11695	5.81	5.55	5.46	5.16	5.41	5.59	5.6	5.2	5.22	5.22
11698	5.2	5.19	4.92	4.86	5.08	4.97	5.03	5.04	5.1	5.01
11699	4.32	4.03	4.13	3.78	3.79	4.3	3.79	3.87	3.89	4.44
11702	9.14	9.03	9.11	9.06	8.97	9.22	9.45	9.85	9.29	9.13
11704	4.24	4.26	4.09	4.1	4.22	4.3	4	4.03	4.02	4.06
11705	5.99	6.28	5.74	5.67	5.8	5.75	5.87	5.55	5.73	6.02
11717	8.12	8.43	8.37	8.29	8.19	8.72	8.38	8.44	8.43	8.38
11720	7.19	7.08	7.27	7.32	7.14	7.79	7.68	6.73	7.51	7.06
11722	5.09	5.35	5.34	5.41	5.13	5.14	4.56	4.84	5.36	4.75
11731	1.74	1.59	1.71	1.44	1.68	1.5	1.53	1.98	1.85	2.46
11732	7.29	7.39	7.22	7.29	7.18	7.4	7.27	7.35	7.28	7.1
11733	5.76	5.72	5.5	5.56	5.75	5.55	5.55	5.55	5.43	5.67
11735	9.17	9.26	9.29	9.3	9.28	8.75	8.26	6.73	7.84	8.22
11736	9.21	9.22	9.18	9.21	9.3	9.08	9.51	9.48	9.43	9.89
11737	8.12	8.07	8.08	8.1	8.13	8.02	7.84	7.75	7.71	7.9
11739	8.62	8.52	8.77	8.71	8.7	8.67	8.93	8.82	8.88	8.76
11740	10.49	10.72	10.73	10.6	10.66	10.8	11.07	11.17	11.22	11.15
11744	9.83	9.74	9.79	9.8	9.86	9.79	9.47	9.47	9.6	9.59
11745	10.83	10.86	10.89	10.75	10.77	11.41	11.16	11	10.95	11.19
11746	10.15	10.19	10.31	10.26	10.3	10.21	10.42	10.14	10.34	10.71
11747	11.27	11.22	11.35	11.38	11.32	11.53	11.4	11.24	11.28	11.04
11749	9.77	9.66	9.8	9.73	9.75	9.58	9.96	9.95	9.91	9.87
11750	9.18	9.16	9.22	9.47	9.2	9.5	9.61	9.52	9.66	9.94
11752	7.94	7.56	7.8	7.53	7.57	7.38	7.45	7.8	7.89	7.34
11754	6.03	5.75	5.91	5.64	5.97	5.95	5.5	5.54	5.45	5.47
11757	8.29	8.31	8.46	8.5	8.52	8.57	8.96	8.78	8.77	8.94
11758	8.84	8.88	8.98	8.82	8.7	8.99	8.3	7.93	8.29	8.28
11761	8.39	8.49	8.42	8.86	8.42	8.25	7.78	7.4	7.7	7.33
11764	8.05	8.05	8.23	8.24	8.04	8.35	8.65	8.86	8.75	8.63
11765	10.26	10.26	10.23	10.06	10.16	10.19	10.15	10.02	10.09	10.04
11766	6.77	6.57	7.03	6.97	7	6.91	7.44	7.65	7.68	7.4
11767	8.1	8.22	8.31	8.22	8.15	8.25	8.59	8.59	8.63	8.65
11768	6.89	6.89	7.06	6.98	6.9	6.82	6.79	6.34	6.69	6.68
11769	6.81	6.58	6.91	7.08	6.75	7.16	7.46	7.55	7.17	7.39
11770	6.87	6.31	7.07	6.41	6.59	6.83	6.74	6.36	6.78	7.23
11771	8.06	7.95	8.03	8.13	8.01	7.95	8.17	8.22	8.25	8.15
11772	9.3	9.52	9.44	9.53	9.5	9.52	9.47	9.57	9.46	9.49
11773	9.28	9.45	9.3	9.44	9.34	9.46	9.6	9.6	9.62	9.7
11774	9.42	9.34	9.37	9.26	9.35	9.33	9.56	9.54	9.43	9.7
11775	5.38	5.24	5.14	5.01	5.1	5.11	5.27	5.14	5.01	5.06
11776	9.67	9.66	9.62	9.71	9.59	9.66	9.69	9.86	9.69	9.82
11777	5.1	5.27	5.56	5.11	5.47	5.61	5.88	5.98	5.61	5.91
11778	7.52	7.72	7.81	7.75	7.9	7.6	7.61	7.54	7.69	7.25
11781	7.51	7.29	7.43	7.67	7.63	7.45	7.61	7.58	7.56	7.38
11782	6.53	6.58	6.84	6.8	6.68	6.72	6.67	6.49	6.57	6.65
11783	7.93	7.87	7.8	7.78	7.94	8.05	8.4	8.54	8.29	8.83
11784	5.06	5.45	5.27	5.1	5.09	5.45	5.25	4.87	4.99	5.25
11785	7.5	7.62	7.38	7.63	7.37	7.38	6.97	6.69	7.16	6.91
11787	9.27	9.32	9.36	9.23	9.29	9.37	9.06	9.09	9.17	8.91
11789	9.21	9.18	9.13	9.09	9.13	9.26	8.88	8.67	8.78	8.7
11790	6.27	5.89	6.04	5.87	6.02	6.11	6.01	6.13	6.11	6.03
11792	6.7	6.94	6.92	7.02	6.93	7.06	7.43	7.5	7.62	7.37
11793	7.94	8	7.94	7.89	7.84	7.89	8	8.08	7.94	8.09
11796	8.39	8.51	8.45	8.35	8.44	8.56	8.95	8.82	8.82	9.03
11797	7.93	7.81	8.04	7.93	7.84	8.17	8.17	8.2	8.09	8.31
11798	9.12	9.06	9.15	9.07	9.05	9.02	8.87	8.72	8.71	8.75
11799	4.2	4.53	4.43	4.51	4.48	4.67	6.47	6.92	6.32	5.67
11800	8.65	8.75	8.74	8.82	8.82	8.94	9	8.94	8.83	8.87
11801	4.82	4.98	4.95	4.51	4.55	4.69	4.48	4.86	4.72	4.26
11803	6.55	6.84	6.92	6.73	6.86	6.48	6.48	6.73	6.54	6.55
11804	11.11	10.93	11.07	11.02	11.04	10.85	10.41	10.14	10.28	10.01
11806	6.09	6.08	5.77	5.58	6.01	5.82	5.76	5.9	5.85	6.08
11807	6.74	6.56	6.44	6.35	6.27	6.31	6.33	6.26	6.28	6.55
11808	6.54	6.51	6.27	6.22	6.34	6.12	6.33	6.18	6.13	6.26
11810	7.47	8.18	7.85	8.21	8.42	8.02	10.04	10.46	9.9	10.33
11811	5.39	5.32	5.31	4.9	5.01	5.05	4.92	4.76	4.71	5.22
11812	6.39	6.55	6.55	6.66	6.55	5.99	6.54	6.49	6.24	6.32
11813	6.94	6.44	6.35	6.28	6.7	6.65	7.88	8.42	8.11	8.06
11814	6.33	6.29	5.96	5.92	6.14	6.21	6.1	5.83	5.83	5.95
11815	5.96	6.23	6.49	6.4	6.62	6.4	9.16	8.81	8.3	10.16
11816	7.38	7.34	7.52	7.4	7.46	7.22	8.2	8.86	7.95	7.39
11818	5.11	5.03	4.79	4.86	4.81	4.85	4.75	4.95	4.97	4.65
11819	8.3	8.33	8.2	8.5	8.36	7.96	7.96	7.92	7.8	7.61
11820	11.4	11.41	11.4	11.52	11.41	11.48	11.21	11.25	11.16	11.14
11821	7.32	7.51	7.41	7.62	7.49	7.51	8.28	8.39	8.35	8.44
11826	10.34	10.58	10.3	10.65	10.38	10.6	9.95	9.89	10.19	9.46
11827	6.03	5.96	5.7	5.66	5.7	5.9	5.88	6.02	5.88	6.08
11828	5.53	5.54	5.26	5.32	5.17	5.34	5.43	5.93	5.22	5.43
11829	6.41	6.09	6.3	6.16	6.3	6.67	5.94	5.56	6.45	5.67
11830	9.75	10.04	9.84	9.93	9.8	10.03	9.64	9.21	9.57	9.32
11831	5.1	5.09	4.6	4.55	4.81	5.01	4.68	4.76	4.54	5.04
11832	5.71	5.72	5.25	5.36	5.5	5.5	5.43	5.34	5.67	5.65
11833	4.86	4.85	4.9	4.93	4.75	4.96	5.1	4.71	5.29	4.96
11834	8.39	8.35	8.55	8.49	8.6	8.58	8.78	8.71	8.66	8.65
11835	7.43	7.58	7.82	7.61	7.69	6.97	7.2	7.1	6.79	7
11836	8.91	8.77	8.87	8.86	8.85	8.91	8.86	8.92	8.97	8.88
11837	6.57	6.96	6.33	6.44	6.47	6.38	6.5	6.79	6.79	6.56
11838	7.18	7.1	6.88	7.09	7.11	7.08	7.25	7.18	7.25	7.25
11839	6.54	6.88	6.72	6.95	6.8	7.39	7.46	7.73	7.51	7.1
11840	8.24	8.3	8.3	8.42	8.25	8.34	8.41	8.5	8.51	8.37
11841	7.07	7.04	6.75	7.09	6.95	7.39	7.38	7.52	7.16	7.47
11842	7.79	7.55	7.6	7.7	7.57	7.81	7.66	7.74	7.69	7.73
11843	9.77	9.95	9.81	9.92	9.94	9.8	9.9	9.69	9.93	9.72
11844	8.04	8.09	7.94	8.03	7.93	7.91	8.32	8.45	8.28	8.54
11845	8.55	8.57	8.51	8.78	8.55	8.37	8.94	8.84	8.8	9.16
11846	6.45	6.13	6.08	6.34	6.27	6.47	9.02	10.09	8.78	10.89
11847	7.03	7.77	7.37	7.42	7.24	7.5	7.58	6.92	7.53	8.46
11848	11.4	11.52	11.45	11.48	11.46	11.52	11.41	11.35	11.38	11.38
11852	8.77	8.42	8.84	8.61	8.38	8.84	8.39	8.37	8.44	8.48
11853	9.4	9.71	9.51	9.55	9.34	9.85	10.05	10.02	10.07	10.1
11854	6.43	6.9	6.73	6.91	6.93	6.86	6.75	6.77	6.61	6.59
11855	9.22	9.25	9.36	9.23	9.25	9.34	8.72	8.56	8.54	8.57
11856	7.93	8.14	7.99	8.04	8.11	7.98	7.72	7.65	7.63	7.58
11857	7.61	7.61	7.68	7.42	7.95	7.7	8.8	8.99	8.77	8.78
11858	5.96	5.91	5.51	5.54	5.71	5.74	5.76	5.73	5.76	5.69
11859	5.91	5.77	5.43	5.5	5.62	5.66	5.62	5.69	5.44	5.87
11861	5.02	4.9	4.89	4.89	5.16	5.47	4.88	4.84	5.07	5.15
11863	9.58	9.64	9.65	9.56	9.66	9.71	9.5	9.59	9.41	9.54
11864	6.03	5.75	5.81	5.39	5.59	5.56	5.65	5.58	5.45	5.67
11865	8.24	8.45	8.45	8.29	7.97	7.88	7.99	7.85	7.82	7.72
11870	6.31	6.09	6.33	5.92	5.91	5.88	5.78	5.99	5.88	5.89
11871	5.95	5.98	5.6	5.3	5.66	5.56	5.69	5.35	5.56	5.9
11872	5.39	5.03	4.94	5.12	5.6	3.98	5.63	5.24	4.88	6.05
11875	5.28	4.95	5.31	4.79	5.05	5.34	5.18	5.07	5.06	5.21
11876	5.52	5.22	5.03	5.14	5.29	5.26	5.07	5.47	5.14	5.41
11877	6.33	6.47	6.43	6.54	6.29	6.48	5.91	5.93	6.05	5.8
11878	5.7	5.55	5.42	4.98	5.16	5.27	5.16	5.44	5.74	5.63
11881	8.26	8.28	8.33	8.34	8.35	8.04	8.78	8.49	8.59	8.31
11883	6.37	6.37	6.57	6.77	6.52	6.14	6.21	6.26	6.82	6.49
11886	9.68	9.89	9.82	9.66	9.8	10.27	10.17	10.09	9.88	9.92
11889	5.36	5.21	5.34	5.2	5.24	5.01	4.82	4.8	4.66	4.87
11890	5.32	4.95	5.08	5.1	5.4	5.15	5.18	4.84	4.82	5.24
11891	9.01	8.97	8.87	9.01	9.02	9.51	9.2	8.94	9.21	9.25
11898	6.03	5.73	5.88	5.78	5.75	5.53	5.94	5.94	6.2	5.73
11899	5.55	5.55	5.56	5.42	5.61	5.7	5.61	5.41	5.48	5.42
11905	4.54	5.21	4.9	4.85	4.5	4.81	4.9	4.48	4.94	4.93
11906	8.9	8.93	8.96	8.96	8.79	8.63	8.22	8.32	8.14	8.1
11907	8.64	8.61	8.68	8.68	8.6	8.62	8.38	8.39	8.35	8.23
11908	7.2	7.07	7.14	7.38	7.26	7.71	7.68	7.51	7.47	7.7
11909	8.85	8.86	8.89	8.86	8.85	8.74	8.68	8.58	8.74	8.71
11910	7.54	7.33	7.07	7.37	7.34	7.79	8.28	8.41	8.48	9.4
11911	8.59	8.73	8.58	8.49	8.26	8.6	8.62	8.59	8.76	9.06
11920	7.46	7.28	7.64	7.67	7.74	7.56	7.71	7.76	7.65	7.82
11921	5.71	5.47	5.15	5.29	5.04	5.34	5.31	5.16	5.13	5.44
11922	4.26	4.43	3.86	3.7	4.11	3.97	3.98	4.04	3.62	3.89
11923	3.8	3.56	3.29	3.9	3.64	3.59	3.32	3.42	3.57	3.48
11924	6.21	6.08	5.98	6.02	6.1	5.96	6.28	5.85	5.88	5.91
11925	5.63	5.54	5.53	4.99	5.35	5.48	5.05	5.39	4.97	5.34
11927	6.66	6.96	7.43	7.35	7.18	7.37	7.82	7.94	8.07	8.03
11928	10.58	10.42	10.52	10.53	10.39	10.83	10.74	10.65	10.77	10.75
11931	11.08	11.13	11.06	10.9	10.91	11.46	10.71	9.83	10.69	10.71
11932	6.77	6.93	6.89	7.07	6.93	6.49	6.45	6.45	6.35	5.78
11933	9.79	9.76	9.85	9.85	9.82	9.88	10.14	10.92	10.12	10.21
11936	5.35	4.96	4.82	4.93	4.8	4.88	4.97	4.64	4.84	4.84
11937	5.69	5.66	5.88	5.42	5.3	5.55	5.29	5.22	5.9	5.02
11938	10.4	10.49	10.66	10.46	10.29	10.6	10.29	10.26	10.45	10.34
11941	6.19	6.31	6.34	6.5	6.47	6.03	5.94	5.89	6.09	5.81
11944	5.65	5.73	5.29	4.82	5.17	5.35	5.47	5.41	5.33	5.47
11945	5.69	5.53	5.51	5.12	5.21	5.34	5.29	5.34	5.4	5.45
11946	10.3	10.14	10.45	10.34	10.27	10.66	10.52	10.64	10.7	10.47
11947	10.63	10.64	10.76	10.72	10.63	10.79	10.86	10.89	10.97	10.85
11949	7.09	7.21	7.16	6.94	7.15	7.22	7.27	7.1	7.38	7.11
11950	8.65	8.89	8.85	8.97	8.84	9.01	9.28	9.21	9.25	9.28
